symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
LRRK2	0.8810801197584561	0.7603254065078987	0.15198269940290526	0.9150285135861396	0.9421515329208274	No data	0.7599134970145264	0.9926373113417722	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	0.555469799179861	No data	No data	No data	No data	No data	0.8323667227228586	No data	No data	No data	0	0	1	1	0	0.3312249999999999	1	-0.3337153573661179	-0.8327671743942902	0	No data	No data	0	1	0
PRKN	0.8584810262502999	0.47366950394811114	No data	0.9353154988489101	0.865457038266544	No data	0.7599134970145264	0.9818602383993099	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6142650124128765	No data	No data	No data	0	0	0	0	0	0.1290300000000002	No data	-0.061366951448218354	-0.8687053681675652	0	No data	No data	0	0.5	0
ATP13A2	0.8504101269892572	No data	No data	0.9356240875691364	0.9652766185441606	0.3039653988058105	0.607930797611621	0.9360722249447112	0.7599134970145264	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22560330628053427	No data	No data	No data	0	0	0	0	0	0.27118499999999984	No data	-0.3972702646384664	-0.30729272741362224	0	No data	No data	0	0.5	-1
PINK1	0.8472867541229682	No data	No data	0.9338287643554544	0.9285669064556789	No data	0.607930797611621	0.9751960202125455	0.607930797611621	0.607930797611621	No data	No data	0	No data	No data	No data	No data	No data	No data	No data	No data	0.6603210714520101	No data	No data	No data	0	0	0	0	0	0.07057000000000002	No data	0.27776620129193574	-0.7128416553501071	0	No data	No data	0	0.5	-1
SNCA	0.8410609346859602	0.8704465420012168	No data	0.9030678852219647	0.9285669064556789	No data	0.7599134970145264	0.9285669064556789	0.7599134970145264	0.607930797611621	No data	No data	No data	No data	0.16727781092716906	No data	No data	No data	No data	No data	No data	0.6088122866824204	No data	No data	0.5	0	1	1	1	0	0.75	0	-0.5884559283183997	-0.7094956642325514	0	No data	No data	-0.08928499999999992	0.75	-1
PARK7	0.8128531608420919	No data	No data	0.9208119902606855	0.865457038266544	No data	0.607930797611621	0.9285669064556789	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2794428973208675	No data	0.5088154003002584	No data	0	0	1	1	0	0.5767200000000002	No data	-0.45874140445926237	-0.34049533411684596	0	No data	No data	No data	-1	-1
DNAJC6	0.8006823281187743	No data	No data	0.9018490620185694	0.9607983220922475	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16138778596620174	0.01069961510590474	No data	No data	1	0	0	0	0	0.6443300000000001	No data	-0.8598666388831007	-0.5076406198771355	0	No data	No data	0	0.75	0
FBXO7	0.7893973147065396	No data	No data	0.9373793025509433	0.9190679877429972	No data	0.607930797611621	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2684823592423869	No data	No data	No data	0	0	0	0	0	0	No data	-0.04073765367784954	-0.7846292252376915	0	No data	No data	No data	0.5	-1
PLA2G6	0.7717030204932328	No data	No data	0.9352705967695975	0.8274613634158176	No data	0.607930797611621	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21578552470997833	No data	0.45345212011035513	No data	1	0	1	1	0	0.49131500000000017	No data	-0.05990831423213172	-0.7342893039590676	0	No data	No data	0	-1	-1
VPS35	0.7593274269842581	No data	No data	0.7668958933862698	0.9066612367713315	No data	No data	0.7599134970145264	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23629760472071484	No data	0.5289352935032756	No data	0	0	0	0	0	0.9685949999999999	No data	-0.7369243592415087	-0.8067166520411001	0	No data	No data	No data	-1	-1
