"Gene Symbol","Nominations","Year First Nominated","Nominating Teams","Cohort Study","Program","Input Data","Pharos Class","Small Molecule Druggability","Safety Rating","Antibody Modality"
"MSN","5","2018","Chang Lab, Emory, Emory-Sage-SGC, MSSM - Zhang Lab","ACT, Banner, BLSA, Kronos, MSBB, ROSMAP","AMP-AD, Community, TREAT-AD","Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"PLEC","5","2018","Chang Lab, Columbia-Rush, Emory, Emory-Sage-SGC, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB, ROSMAP","AMP-AD, Community, TREAT-AD","Clinical, Genetics, Protein","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components."
"PRDX1","5","2018","Chang Lab, Columbia-Rush, Emory, Emory-Sage-SGC, MSSM - Zhang Lab","ACT, Banner, BLSA, Kronos, MSBB, ROSMAP","AMP-AD, Community, TREAT-AD","Clinical, Genetics, Protein, RNA","Tbio","3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment. "
"APOE","4","2018","ASU, Duke, Mayo-UFL-ISB, MSSM - Roussos Lab","APP Mice, HBI_scRNAseq, VirusResilience","AMP-AD","Genetics, Metabolomics, Phenomics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"CLU","4","2018","Columbia-Rush, Duke, Mayo-UFL-ISB, MSSM - Roussos Lab","ADNI, APP Mice, FreshMicro, ROSMAP","AMP-AD","Clinical, Genetics, Metabolomics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"INPP5D","4","2018","Duke, IUSM-Purdue, Mayo-UFL-ISB, MSSM - Zhang Lab","ABA, ADNI, GSE33000, GSE44772, GSE48350, GSE5281, Mayo, MSBB, ROSMAP","AMP-AD, TREAT-AD","Genetics, Metabolomics, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"PRDX6","4","2018","Chang Lab, Emory, Emory-Sage-SGC, MSSM - Zhang Lab","ACT, Banner, BLSA, Kronos, MSBB, Rush","AMP-AD, Community, TREAT-AD","Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"RPH3A","4","2018","Chang Lab, Columbia-Rush, Emory, MSSM - Zhang Lab","ACT, Banner, BLSA, MSBB, ROSMAP","AMP-AD, Community","Clinical, Genetics, Protein","Tbio","11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein. "
"VGF","4","2018","Columbia-Rush, Emory, Mayo-UFL-ISB, MSSM - Zhang Lab","ACT, Banner, BLSA, Mayo, MSBB, ROSMAP","AMP-AD","Clinical, Genetics, Protein, RNA","Tbio","7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies."
"ACE","3","2018","Duke, Emory","ADNI, Banner, https://doi.org/10.1038/s41588-018-0311-9; https://doi.org/10.1038/s41588-019-0358-2, ROSMAP","AMP-AD","Genetics, Metabolomics, Protein","Tclin","1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","1: Secreted protein. Highly accessible to antibody-based therapies."
