GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0002274	myeloid leukocyte activation	4.218981986967178e-11	4.218981986967178e-11	+1	ENSG00000197943,ENSG00000095970,ENSG00000025434,ENSG00000136869,ENSG00000145335,ENSG00000137845,ENSG00000135077,ENSG00000184371,ENSG00000165025,ENSG00000124126,ENSG00000120885,ENSG00000105383,ENSG00000163513,ENSG00000130202,ENSG00000168961,ENSG00000168329,ENSG00000103496,ENSG00000160255,ENSG00000158869,ENSG00000134516,ENSG00000066336,ENSG00000167851,ENSG00000011600,ENSG00000239998,ENSG00000254087,ENSG00000164136,ENSG00000169896,ENSG00000173372,ENSG00000168615,ENSG00000174125,ENSG00000006210,ENSG00000081237,ENSG00000135046,ENSG00000125144
GO:0030100	regulation of endocytosis	2.889545942611825e-10	2.889545942611825e-10	+1	ENSG00000197943,ENSG00000130203,ENSG00000095970,ENSG00000064687,ENSG00000025434,ENSG00000118473,ENSG00000100599,ENSG00000171105,ENSG00000130208,ENSG00000244731,ENSG00000073921,ENSG00000124507,ENSG00000145335,ENSG00000051523,ENSG00000132535,ENSG00000110395,ENSG00000165025,ENSG00000120885,ENSG00000112715,ENSG00000051382,ENSG00000137462,ENSG00000169174,ENSG00000157168,ENSG00000158869,ENSG00000125730,ENSG00000134516,ENSG00000167851,ENSG00000065609,ENSG00000164136,ENSG00000123384,ENSG00000182718,ENSG00000109072,ENSG00000123338,ENSG00000131408,ENSG00000196776,ENSG00000081237,ENSG00000012124,ENSG00000099365,ENSG00000080371
GO:0002429	immune response-activating cell surface receptor signaling pathway	4.732056839847342e-10	4.732056839847342e-10	+1	ENSG00000197943,ENSG00000095970,ENSG00000196126,ENSG00000025434,ENSG00000203710,ENSG00000104783,ENSG00000168918,ENSG00000136869,ENSG00000092820,ENSG00000051523,ENSG00000110651,ENSG00000171051,ENSG00000165025,ENSG00000135426,ENSG00000081189,ENSG00000149269,ENSG00000130202,ENSG00000137462,ENSG00000155629,ENSG00000158869,ENSG00000141968,ENSG00000104365,ENSG00000167851,ENSG00000011600,ENSG00000171791,ENSG00000144802,ENSG00000239998,ENSG00000107679,ENSG00000203805,ENSG00000254087,ENSG00000100906,ENSG00000162511,ENSG00000204655,ENSG00000169896,ENSG00000123338,ENSG00000121879,ENSG00000174125,ENSG00000171860,ENSG00000196776,ENSG00000081237,ENSG00000012124,ENSG00000163563,ENSG00000187554,ENSG00000163599,ENSG00000117228,ENSG00000213047,ENSG00000101336,ENSG00000010671
GO:0002768	immune response-regulating cell surface receptor signaling pathway	2.8612472742907846e-9	2.8612472742907846e-9	+1	ENSG00000197943,ENSG00000095970,ENSG00000196126,ENSG00000025434,ENSG00000203710,ENSG00000104783,ENSG00000168918,ENSG00000136869,ENSG00000050748,ENSG00000092820,ENSG00000051523,ENSG00000110651,ENSG00000171051,ENSG00000165025,ENSG00000135426,ENSG00000081189,ENSG00000149269,ENSG00000130202,ENSG00000137462,ENSG00000155629,ENSG00000158869,ENSG00000141968,ENSG00000104365,ENSG00000167851,ENSG00000011600,ENSG00000171791,ENSG00000144802,ENSG00000239998,ENSG00000107679,ENSG00000203805,ENSG00000254087,ENSG00000100906,ENSG00000162511,ENSG00000204655,ENSG00000169896,ENSG00000123338,ENSG00000121879,ENSG00000174125,ENSG00000171860,ENSG00000196776,ENSG00000081237,ENSG00000012124,ENSG00000163563,ENSG00000187554,ENSG00000163599,ENSG00000117228,ENSG00000213047,ENSG00000101336,ENSG00000010671
GO:0018212	peptidyl-tyrosine modification	2.9190819227551158e-9	2.9190819227551158e-9	+1	ENSG00000197943,ENSG00000095970,ENSG00000135744,ENSG00000171105,ENSG00000140443,ENSG00000182578,ENSG00000178568,ENSG00000132535,ENSG00000180353,ENSG00000169242,ENSG00000165025,ENSG00000112715,ENSG00000120899,ENSG00000138496,ENSG00000111679,ENSG00000157168,ENSG00000134352,ENSG00000162733,ENSG00000160255,ENSG00000104332,ENSG00000171094,ENSG00000167851,ENSG00000146904,ENSG00000067182,ENSG00000087589,ENSG00000254087,ENSG00000164136,ENSG00000111859,ENSG00000019991,ENSG00000109072,ENSG00000102755,ENSG00000184349,ENSG00000026508,ENSG00000081237,ENSG00000109670,ENSG00000019582,ENSG00000116584,ENSG00000017427,ENSG00000169902,ENSG00000101336,ENSG00000150337,ENSG00000010671
GO:0017157	regulation of exocytosis	3.764808603412404e-9	3.764808603412404e-9	+1	ENSG00000176406,ENSG00000145335,ENSG00000149927,ENSG00000168993,ENSG00000073969,ENSG00000165025,ENSG00000168961,ENSG00000163618,ENSG00000124145,ENSG00000103496,ENSG00000041353,ENSG00000160255,ENSG00000084093,ENSG00000066336,ENSG00000167851,ENSG00000145087,ENSG00000184702,ENSG00000105649,ENSG00000254087,ENSG00000136854,ENSG00000138078,ENSG00000182718,ENSG00000067715,ENSG00000169896,ENSG00000123338,ENSG00000106089,ENSG00000135046,ENSG00000080371,ENSG00000019505,ENSG00000116266,ENSG00000011347,ENSG00000089169,ENSG00000173227,ENSG00000008056
GO:0018108	peptidyl-tyrosine phosphorylation	6.466141503434253e-9	6.466141503434253e-9	+1	ENSG00000197943,ENSG00000095970,ENSG00000135744,ENSG00000171105,ENSG00000140443,ENSG00000182578,ENSG00000178568,ENSG00000132535,ENSG00000180353,ENSG00000169242,ENSG00000165025,ENSG00000112715,ENSG00000120899,ENSG00000138496,ENSG00000111679,ENSG00000157168,ENSG00000134352,ENSG00000162733,ENSG00000160255,ENSG00000104332,ENSG00000171094,ENSG00000167851,ENSG00000146904,ENSG00000067182,ENSG00000087589,ENSG00000254087,ENSG00000164136,ENSG00000111859,ENSG00000019991,ENSG00000109072,ENSG00000102755,ENSG00000184349,ENSG00000026508
GO:0002685	regulation of leukocyte migration	2.2720501892985416e-8	2.2720501892985416e-8	+1	ENSG00000095970,ENSG00000107099,ENSG00000100599,ENSG00000182578,ENSG00000145147,ENSG00000137845,ENSG00000110651,ENSG00000184371,ENSG00000072786,ENSG00000112715,ENSG00000120899,ENSG00000169313,ENSG00000168961,ENSG00000115310,ENSG00000168329,ENSG00000117115,ENSG00000090339,ENSG00000189058,ENSG00000167851,ENSG00000182621,ENSG00000133800,ENSG00000254087,ENSG00000111859,ENSG00000142208,ENSG00000110492,ENSG00000100030,ENSG00000123338,ENSG00000006210,ENSG00000196776,ENSG00000135046,ENSG00000105894,ENSG00000087470,ENSG00000019582,ENSG00000177119
GO:0052548	regulation of endopeptidase activity	4.303468940810719e-8	4.303468940810719e-8	+1	ENSG00000273079,ENSG00000203710,ENSG00000183454,ENSG00000055163,ENSG00000136717,ENSG00000073921,ENSG00000145335,ENSG00000165731,ENSG00000064300,ENSG00000169242,ENSG00000165025,ENSG00000112715,ENSG00000169855,ENSG00000168961,ENSG00000166949,ENSG00000197971,ENSG00000168610,ENSG00000084093,ENSG00000148180,ENSG00000152377,ENSG00000254087,ENSG00000142208,ENSG00000186010,ENSG00000162511,ENSG00000147488,ENSG00000111640,ENSG00000109072,ENSG00000026508,ENSG00000132170,ENSG00000165280,ENSG00000100234,ENSG00000196104,ENSG00000075240,ENSG00000143546,ENSG00000163220,ENSG00000107742,ENSG00000116478,ENSG00000079387,ENSG00000136938,ENSG00000156709
GO:0055094	response to lipoprotein particle	4.399480530490038e-8	4.399480530490038e-8	+1	ENSG00000130203,ENSG00000095970,ENSG00000136869,ENSG00000110651,ENSG00000127666,ENSG00000165025,ENSG00000198911,ENSG00000160255,ENSG00000158869,ENSG00000150093,ENSG00000142208,ENSG00000132170
