GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0032543	mitochondrial translation	3.0178532502435655e-14	3.0178532502435655e-14	+1	ENSG00000138095,ENSG00000132676,ENSG00000116221,ENSG00000182180,ENSG00000169288,ENSG00000181610,ENSG00000154719,ENSG00000137547,ENSG00000175110,ENSG00000185414,ENSG00000173141,ENSG00000149792,ENSG00000174547,ENSG00000185608,ENSG00000167862,ENSG00000136897,ENSG00000158042,ENSG00000175581,ENSG00000180992,ENSG00000178952,ENSG00000204822,ENSG00000135900,ENSG00000055950,ENSG00000204568,ENSG00000166902,ENSG00000262814,ENSG00000122140,ENSG00000116898,ENSG00000259494
GO:0099003	vesicle-mediated transport in synapse	3.177049640797946e-12	3.177049640797946e-12	+1	ENSG00000132639,ENSG00000197959,ENSG00000159082,ENSG00000116675,ENSG00000106089,ENSG00000168993,ENSG00000161203,ENSG00000138078,ENSG00000067715,ENSG00000130477,ENSG00000103723,ENSG00000186472,ENSG00000105649,ENSG00000065609,ENSG00000136854,ENSG00000145335,ENSG00000073921,ENSG00000106976,ENSG00000006125,ENSG00000196961,ENSG00000124507,ENSG00000099365,ENSG00000184702,ENSG00000065000,ENSG00000011347
GO:0009060	aerobic respiration	4.5687150229340864e-12	4.5687150229340864e-12	+1	ENSG00000112992,ENSG00000140740,ENSG00000023228,ENSG00000168291,ENSG00000130414,ENSG00000213619,ENSG00000139180,ENSG00000167792,ENSG00000169021,ENSG00000158864,ENSG00000146701,ENSG00000126267,ENSG00000014641,ENSG00000010256,ENSG00000156467,ENSG00000062485,ENSG00000145335,ENSG00000131143,ENSG00000145494,ENSG00000241837,ENSG00000135940,ENSG00000146729,ENSG00000073578,ENSG00000100412,ENSG00000115286,ENSG00000165280,ENSG00000186010,ENSG00000174886,ENSG00000135441,ENSG00000176046
GO:0140053	mitochondrial gene expression	1.2173612174982201e-11	1.2173612174982201e-11	+1	ENSG00000138095,ENSG00000132676,ENSG00000116221,ENSG00000182180,ENSG00000169288,ENSG00000181610,ENSG00000154719,ENSG00000137547,ENSG00000175110,ENSG00000185414,ENSG00000173141,ENSG00000149792,ENSG00000174547,ENSG00000185608,ENSG00000167862,ENSG00000136897,ENSG00000158042,ENSG00000175581,ENSG00000180992,ENSG00000178952,ENSG00000204822,ENSG00000135900,ENSG00000055950,ENSG00000204568,ENSG00000166902,ENSG00000262814,ENSG00000122140,ENSG00000116898,ENSG00000259494
GO:0099504	synaptic vesicle cycle	1.4023368802736554e-11	1.4023368802736554e-11	+1	ENSG00000132639,ENSG00000197959,ENSG00000159082,ENSG00000116675,ENSG00000106089,ENSG00000168993,ENSG00000161203,ENSG00000138078,ENSG00000067715,ENSG00000130477,ENSG00000103723,ENSG00000186472,ENSG00000105649,ENSG00000065609,ENSG00000136854,ENSG00000145335,ENSG00000073921,ENSG00000106976,ENSG00000006125,ENSG00000124507,ENSG00000099365,ENSG00000184702,ENSG00000065000,ENSG00000011347
GO:0045333	cellular respiration	4.640504352694723e-11	4.640504352694723e-11	+1	ENSG00000112992,ENSG00000140740,ENSG00000023228,ENSG00000168291,ENSG00000130414,ENSG00000213619,ENSG00000139180,ENSG00000167792,ENSG00000169021,ENSG00000158864,ENSG00000146701,ENSG00000126267,ENSG00000014641,ENSG00000010256,ENSG00000156467,ENSG00000062485,ENSG00000145335,ENSG00000131143,ENSG00000145494,ENSG00000241837,ENSG00000135940,ENSG00000146729,ENSG00000073578,ENSG00000140374,ENSG00000100412,ENSG00000115286,ENSG00000165280,ENSG00000186010,ENSG00000174886,ENSG00000135441,ENSG00000176046
GO:0017157	regulation of exocytosis	1.2889071373019586e-10	1.2889071373019586e-10	+1	ENSG00000089169,ENSG00000145087,ENSG00000173227,ENSG00000124145,ENSG00000160255,ENSG00000106089,ENSG00000168993,ENSG00000163618,ENSG00000135046,ENSG00000138078,ENSG00000067715,ENSG00000165025,ENSG00000105649,ENSG00000123338,ENSG00000136854,ENSG00000145335,ENSG00000182718,ENSG00000041353,ENSG00000169896,ENSG00000184702,ENSG00000011347,ENSG00000103496,ENSG00000116266,ENSG00000149927,ENSG00000084093,ENSG00000073969,ENSG00000168961,ENSG00000066336,ENSG00000176406,ENSG00000019505,ENSG00000254087,ENSG00000167851,ENSG00000080371
GO:0002429	immune response-activating cell surface receptor signaling pathway	9.54663798431515e-10	9.54663798431515e-10	+1	ENSG00000196126,ENSG00000092820,ENSG00000149269,ENSG00000100906,ENSG00000104365,ENSG00000196776,ENSG00000011600,ENSG00000171791,ENSG00000081237,ENSG00000051523,ENSG00000165025,ENSG00000141968,ENSG00000123338,ENSG00000101336,ENSG00000135426,ENSG00000169896,ENSG00000204655,ENSG00000187554,ENSG00000095970,ENSG00000162511,ENSG00000171860,ENSG00000136869,ENSG00000155629,ENSG00000239998,ENSG00000168918,ENSG00000137462,ENSG00000110651,ENSG00000081189,ENSG00000197943,ENSG00000203710,ENSG00000254087,ENSG00000158869,ENSG00000174125,ENSG00000012124,ENSG00000167851,ENSG00000144802,ENSG00000025434,ENSG00000213047,ENSG00000203805,ENSG00000104783,ENSG00000171051,ENSG00000163563,ENSG00000117228,ENSG00000121879,ENSG00000130202,ENSG00000107679,ENSG00000010671
GO:0002274	myeloid leukocyte activation	1.0768420891691438e-9	1.0768420891691438e-9	+1	ENSG00000120885,ENSG00000173372,ENSG00000160255,ENSG00000011600,ENSG00000081237,ENSG00000135046,ENSG00000165025,ENSG00000145335,ENSG00000137845,ENSG00000169896,ENSG00000103496,ENSG00000116266,ENSG00000163513,ENSG00000184371,ENSG00000095970,ENSG00000136869,ENSG00000135077,ENSG00000239998,ENSG00000019582,ENSG00000134516,ENSG00000124126,ENSG00000168961,ENSG00000066336,ENSG00000197943,ENSG00000125144,ENSG00000105383,ENSG00000254087,ENSG00000158869,ENSG00000174125,ENSG00000164136,ENSG00000167851,ENSG00000006210,ENSG00000025434,ENSG00000168615,ENSG00000168329,ENSG00000130202
GO:0018212	peptidyl-tyrosine modification	1.5680296115018832e-9	1.5680296115018832e-9	+1	ENSG00000026508,ENSG00000102755,ENSG00000160255,ENSG00000104332,ENSG00000019991,ENSG00000120899,ENSG00000081237,ENSG00000165025,ENSG00000162733,ENSG00000140443,ENSG00000111679,ENSG00000171105,ENSG00000101336,ENSG00000132535,ENSG00000116584,ENSG00000169902,ENSG00000109072,ENSG00000067182,ENSG00000095970,ENSG00000180353,ENSG00000109670,ENSG00000019582,ENSG00000138496,ENSG00000182578,ENSG00000197943,ENSG00000169242,ENSG00000254087,ENSG00000134352,ENSG00000164136,ENSG00000017427,ENSG00000178568,ENSG00000087589,ENSG00000135744,ENSG00000167851,ENSG00000111859,ENSG00000157168,ENSG00000146904,ENSG00000184349,ENSG00000171094,ENSG00000112715,ENSG00000150337,ENSG00000010671
GO:0045055	regulated exocytosis	1.992644931834522e-9	1.992644931834522e-9	+1	ENSG00000089169,ENSG00000132639,ENSG00000173227,ENSG00000159082,ENSG00000160255,ENSG00000106089,ENSG00000168993,ENSG00000138078,ENSG00000067715,ENSG00000130477,ENSG00000165025,ENSG00000186472,ENSG00000105649,ENSG00000123338,ENSG00000115956,ENSG00000136854,ENSG00000145335,ENSG00000101336,ENSG00000099365,ENSG00000169896,ENSG00000184702,ENSG00000011347,ENSG00000103496,ENSG00000116266,ENSG00000149927,ENSG00000084093,ENSG00000168961,ENSG00000066336,ENSG00000176406,ENSG00000019505
GO:0030100	regulation of endocytosis	3.045650647681726e-9	3.045650647681726e-9	+1	ENSG00000177119,ENSG00000118473,ENSG00000244731,ENSG00000120885,ENSG00000196776,ENSG00000081237,ENSG00000051523,ENSG00000165025,ENSG00000123338,ENSG00000065609,ENSG00000145335,ENSG00000123384,ENSG00000125730,ENSG00000171105,ENSG00000073921,ENSG00000182718,ENSG00000101336,ENSG00000124507,ENSG00000051382,ENSG00000132535,ENSG00000099365,ENSG00000110395,ENSG00000011347,ENSG00000130203,ENSG00000109072,ENSG00000095970,ENSG00000134516,ENSG00000137462,ENSG00000197943,ENSG00000100599,ENSG00000158869,ENSG00000130208,ENSG00000164136,ENSG00000012124,ENSG00000167851,ENSG00000157168,ENSG00000080371,ENSG00000025434,ENSG00000064687
GO:0036465	synaptic vesicle recycling	4.792348442415052e-9	4.792348442415052e-9	+1	ENSG00000197959,ENSG00000159082,ENSG00000116675,ENSG00000106089,ENSG00000161203,ENSG00000067715,ENSG00000103723,ENSG00000105649,ENSG00000065609,ENSG00000145335,ENSG00000073921,ENSG00000106976,ENSG00000006125,ENSG00000124507,ENSG00000065000,ENSG00000011347
GO:0018108	peptidyl-tyrosine phosphorylation	4.878391716025324e-9	4.878391716025324e-9	+1	ENSG00000026508,ENSG00000102755,ENSG00000160255,ENSG00000104332,ENSG00000019991,ENSG00000120899,ENSG00000081237,ENSG00000165025,ENSG00000162733,ENSG00000140443,ENSG00000111679,ENSG00000171105,ENSG00000101336,ENSG00000132535,ENSG00000116584,ENSG00000109072,ENSG00000067182,ENSG00000095970,ENSG00000180353,ENSG00000109670,ENSG00000019582,ENSG00000138496,ENSG00000182578,ENSG00000197943,ENSG00000169242,ENSG00000254087,ENSG00000134352,ENSG00000164136,ENSG00000017427,ENSG00000178568,ENSG00000087589,ENSG00000135744,ENSG00000167851,ENSG00000111859,ENSG00000157168,ENSG00000146904,ENSG00000184349,ENSG00000171094,ENSG00000112715,ENSG00000150337,ENSG00000010671
GO:0015980	energy derivation by oxidation of organic compounds	5.263671753658854e-9	5.263671753658854e-9	+1	ENSG00000100504,ENSG00000112992,ENSG00000140740,ENSG00000023228,ENSG00000168291,ENSG00000130414,ENSG00000213619,ENSG00000139180,ENSG00000167792,ENSG00000169021,ENSG00000158864,ENSG00000146701,ENSG00000126267,ENSG00000014641,ENSG00000010256,ENSG00000156467,ENSG00000062485,ENSG00000145335,ENSG00000171105,ENSG00000131143,ENSG00000145494,ENSG00000241837,ENSG00000135940,ENSG00000146729,ENSG00000073578,ENSG00000140374,ENSG00000100412,ENSG00000115286,ENSG00000165280,ENSG00000186010,ENSG00000174886,ENSG00000135441,ENSG00000176046
GO:0002768	immune response-regulating cell surface receptor signaling pathway	5.379775363809317e-9	5.379775363809317e-9	+1	ENSG00000196126,ENSG00000092820,ENSG00000149269,ENSG00000100906,ENSG00000104365,ENSG00000196776,ENSG00000011600,ENSG00000171791,ENSG00000081237,ENSG00000051523,ENSG00000165025,ENSG00000141968,ENSG00000123338,ENSG00000101336,ENSG00000135426,ENSG00000169896,ENSG00000204655,ENSG00000187554,ENSG00000095970,ENSG00000162511,ENSG00000171860,ENSG00000136869,ENSG00000155629,ENSG00000239998,ENSG00000168918,ENSG00000050748,ENSG00000137462,ENSG00000110651,ENSG00000081189,ENSG00000197943,ENSG00000203710,ENSG00000254087,ENSG00000158869,ENSG00000174125,ENSG00000012124,ENSG00000167851,ENSG00000144802,ENSG00000025434,ENSG00000213047,ENSG00000203805,ENSG00000104783,ENSG00000171051,ENSG00000163563,ENSG00000117228,ENSG00000121879,ENSG00000130202,ENSG00000107679,ENSG00000010671
GO:0006909	phagocytosis	7.90566674539282e-9	7.90566674539282e-9	+1	ENSG00000177119,ENSG00000244731,ENSG00000148180,ENSG00000149269,ENSG00000160255,ENSG00000150093,ENSG00000196776,ENSG00000011600,ENSG00000070495,ENSG00000081237,ENSG00000051523,ENSG00000135046,ENSG00000165025,ENSG00000141968,ENSG00000123338,ENSG00000123384,ENSG00000125730,ENSG00000101336,ENSG00000150760,ENSG00000169896,ENSG00000011347,ENSG00000095970,ENSG00000136869,ENSG00000134516,ENSG00000137462,ENSG00000166428,ENSG00000197943,ENSG00000254087,ENSG00000158869,ENSG00000110880,ENSG00000164136,ENSG00000167851,ENSG00000025434,ENSG00000064687,ENSG00000203805
