"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","amyloid precursor protein catabolic process","GO:0042987","1.001363713275171e-9","8.999408150314672","53","22","7","16178","ENSG00000064687,ENSG00000138613,ENSG00000151694,ENSG00000130203,ENSG00000137845,ENSG00000073921,ENSG00000120885"
"GO:BP","amyloid precursor protein metabolic process","GO:0042982","5.5855204790896175e-9","8.252936351525172","67","22","7","16178","ENSG00000064687,ENSG00000138613,ENSG00000151694,ENSG00000130203,ENSG00000137845,ENSG00000073921,ENSG00000120885"
"GO:BP","amyloid-beta metabolic process","GO:0050435","4.0214164777482293e-7","6.395620946886776","48","28","6","16178","ENSG00000064687,ENSG00000138613,ENSG00000130203,ENSG00000073921,ENSG00000120885,ENSG00000159640"
"GO:BP","amyloid-beta clearance","GO:0097242","0.0000020504957595376894","5.68814112450441","35","22","5","16178","ENSG00000064687,ENSG00000095970,ENSG00000130203,ENSG00000073921,ENSG00000120885"
"GO:BP","amyloid-beta formation","GO:0034205","0.000005340243983198241","5.272438900623861","42","22","5","16178","ENSG00000064687,ENSG00000138613,ENSG00000130203,ENSG00000073921,ENSG00000120885"
"GO:BP","regulation of humoral immune response","GO:0002920","0.000008115969118104242","5.090659614159938","32","1263","15","16178","ENSG00000095970,ENSG00000197721,ENSG00000167085,ENSG00000203710,ENSG00000117335,ENSG00000117322,ENSG00000108561,ENSG00000169035,ENSG00000196352,ENSG00000167754,ENSG00000142515,ENSG00000183018,ENSG00000123838,ENSG00000072694,ENSG00000123843"
"GO:BP","regulation of amyloid-beta clearance","GO:1900221","0.00001049213053405699","4.979136314929949","16","22","4","16178","ENSG00000064687,ENSG00000095970,ENSG00000130203,ENSG00000120885"
"GO:BP","negative regulation of amyloid precursor protein catabolic process","GO:1902992","0.00002228513926280363","4.65198464760526","19","22","4","16178","ENSG00000064687,ENSG00000130203,ENSG00000073921,ENSG00000120885"
"GO:BP","cell activation","GO:0001775","0.000027162155032495466","4.566035776306395","814","43","14","16178","ENSG00000105383,ENSG00000187116,ENSG00000095970,ENSG00000151694,ENSG00000130203,ENSG00000137845,ENSG00000120885,ENSG00000071051,ENSG00000095585,ENSG00000168421,ENSG00000145214,ENSG00000161911,ENSG00000030582,ENSG00000066336"
"GO:BP","positive regulation of amyloid-beta clearance","GO:1900223","0.00003218347945970313","4.4923670047223645","7","13","3","16178","ENSG00000064687,ENSG00000095970,ENSG00000130203"
"GO:BP","regulation of amyloid-beta formation","GO:1902003","0.00026309982869380903","3.579879434686466","34","22","4","16178","ENSG00000064687,ENSG00000130203,ENSG00000073921,ENSG00000120885"
"GO:BP","regulation of humoral immune response mediated by circulating immunoglobulin","GO:0002923","0.00040917831447429204","3.3880873909757905","11","1263","8","16178","ENSG00000095970,ENSG00000197721,ENSG00000203710,ENSG00000117335,ENSG00000117322,ENSG00000123838,ENSG00000072694,ENSG00000123843"
"GO:BP","regulation of amyloid precursor protein catabolic process","GO:1902991","0.0005157080248477761","3.2875961105556835","40","22","4","16178","ENSG00000064687,ENSG00000130203,ENSG00000073921,ENSG00000120885"
"GO:BP","positive regulation of engulfment of apoptotic cell","GO:1901076","0.0006252547552737846","3.203942996628549","2","9","2","16178","ENSG00000064687,ENSG00000095970"
"GO:BP","membrane protein proteolysis","GO:0033619","0.0007768643007892415","3.109654835208411","58","17","4","16178","ENSG00000138613,ENSG00000151694,ENSG00000130203,ENSG00000137845"
"GO:BP","regulation of complement activation","GO:0030449","0.0008866207280420997","3.0522621196765725","19","1263","10","16178","ENSG00000095970,ENSG00000197721,ENSG00000167085,ENSG00000203710,ENSG00000117335,ENSG00000117322,ENSG00000108561,ENSG00000196352,ENSG00000123838,ENSG00000123843"
"GO:BP","regulation of immune system process","GO:0002682","0.00089202596316143","3.0496225049359325","1224","332","52","16178","ENSG00000105383,ENSG00000161929,ENSG00000095970,ENSG00000151694,ENSG00000137845,ENSG00000120885,ENSG00000071051,ENSG00000095585,ENSG00000125826,ENSG00000168421,ENSG00000203896,ENSG00000030582,ENSG00000066336,ENSG00000196735,ENSG00000103811,ENSG00000131042,ENSG00000197721,ENSG00000196126,ENSG00000104951,ENSG00000142192,ENSG00000239961,ENSG00000158869,ENSG00000113249,ENSG00000158874,ENSG00000107679,ENSG00000197943,ENSG00000145901,ENSG00000100599,ENSG00000188056,ENSG00000167085,ENSG00000135077,ENSG00000113263,ENSG00000204577,ENSG00000187608,ENSG00000138600,ENSG00000168918,ENSG00000035664,ENSG00000154124,ENSG00000124098,ENSG00000089060,ENSG00000103496,ENSG00000157368,ENSG00000203710,ENSG00000103490,ENSG00000101782,ENSG00000122378,ENSG00000177732,ENSG00000167191,ENSG00000050748,ENSG00000063176,ENSG00000077454,ENSG00000129219"
"GO:BP","negative regulation of amyloid fibril formation","GO:1905907","0.00108268757732197","2.965496846255346","12","22","3","16178","ENSG00000095970,ENSG00000130203,ENSG00000120885"
"GO:BP","positive regulation of catalytic activity","GO:0043085","0.00115908215976163","2.935885778646874","732","13","7","16178","ENSG00000105383,ENSG00000187116,ENSG00000146904,ENSG00000095970,ENSG00000138613,ENSG00000151694,ENSG00000130203"
"GO:BP","regulation of complement activation, classical pathway","GO:0030450","0.0012371796071455107","2.907567247234302","9","1263","7","16178","ENSG00000095970,ENSG00000197721,ENSG00000203710,ENSG00000117335,ENSG00000117322,ENSG00000123838,ENSG00000123843"
"GO:BP","positive regulation of cholesterol efflux","GO:0010875","0.001616441943663267","2.791439888948784","23","13","3","16178","ENSG00000064687,ENSG00000095970,ENSG00000130203"
