GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0050435	amyloid-beta metabolic process	6.9412930335914936e-12	6.9412930335914936e-12	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000138613,ENSG00000073921,ENSG00000159640,ENSG00000064687
GO:0042987	amyloid precursor protein catabolic process	6.9412930335914936e-12	6.9412930335914936e-12	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000138613,ENSG00000137845,ENSG00000073921,ENSG00000064687
GO:0042982	amyloid precursor protein metabolic process	5.049229831884098e-11	5.049229831884098e-11	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000138613,ENSG00000137845,ENSG00000073921,ENSG00000064687
GO:0034205	amyloid-beta formation	2.149628526291135e-10	2.149628526291135e-10	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000138613,ENSG00000073921,ENSG00000064687
GO:1902003	regulation of amyloid-beta formation	1.0244292864678605e-8	1.0244292864678605e-8	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000073921,ENSG00000064687
GO:1902991	regulation of amyloid precursor protein catabolic process	2.9079489293214903e-8	2.9079489293214903e-8	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000073921,ENSG00000064687
GO:1902430	negative regulation of amyloid-beta formation	4.294474719882232e-8	4.294474719882232e-8	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000064687
GO:0071825	protein-lipid complex organization	4.40044295469122e-8	4.40044295469122e-8	+1	ENSG00000136717,ENSG00000130203,ENSG00000064687,ENSG00000165029,ENSG00000130208,ENSG00000073060,ENSG00000101670
GO:1902992	negative regulation of amyloid precursor protein catabolic process	5.940678064564194e-8	5.940678064564194e-8	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000064687
GO:0034249	negative regulation of amide metabolic process	1.7223186188133027e-7	1.7223186188133027e-7	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203
GO:0034248	regulation of amide metabolic process	3.0169689913597974e-7	3.0169689913597974e-7	+1	ENSG00000137642,ENSG00000136717,ENSG00000120885,ENSG00000130203,ENSG00000073921,ENSG00000064687
GO:0071947	protein deubiquitination involved in ubiquitin-dependent protein catabolic process	5.350580812162929e-7	5.350580812162929e-7	+1	ENSG00000228856,ENSG00000232264,ENSG00000235780,ENSG00000230430,ENSG00000231637,ENSG00000231051,ENSG00000229579
GO:0043691	reverse cholesterol transport	9.4582317198893e-7	9.4582317198893e-7	+1	ENSG00000120885,ENSG00000130203,ENSG00000165029,ENSG00000073060,ENSG00000101670
GO:0002274	myeloid leukocyte activation	0.0000011571201457780368	0.0000011571201457780368	+1	ENSG00000120885,ENSG00000105383,ENSG00000197943,ENSG00000137845,ENSG00000142192,ENSG00000130202,ENSG00000033327,ENSG00000030582,ENSG00000135077,ENSG00000066336
GO:0065005	protein-lipid complex assembly	0.0000020469229288958585	0.0000020469229288958585	+1	ENSG00000136717,ENSG00000130203,ENSG00000064687,ENSG00000165029,ENSG00000130208
