"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","ionotropic glutamate receptor signaling pathway","GO:0035235","1.0628212569050174e-21","20.973539768089168","13","20","9","16178","ENSG00000142192,ENSG00000176884,ENSG00000116032,ENSG00000273079,ENSG00000161509,ENSG00000183454,ENSG00000198785,ENSG00000105464,ENSG00000176749"
"GO:BP","ligand-gated ion channel signaling pathway","GO:1990806","1.0628212569050174e-21","20.973539768089168","13","20","9","16178","ENSG00000142192,ENSG00000176884,ENSG00000116032,ENSG00000273079,ENSG00000161509,ENSG00000183454,ENSG00000198785,ENSG00000105464,ENSG00000176749"
"GO:BP","mitochondrial electron transport, NADH to ubiquinone","GO:0006120","8.394666535453317e-19","18.075996550828958","46","473","22","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000139180,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000165264,ENSG00000140990,ENSG00000164258,ENSG00000145494,ENSG00000267855"
"GO:BP","mitochondrial ATP synthesis coupled electron transport","GO:0042775","2.011393986761667e-18","17.696502852567104","88","480","28","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885"
"GO:BP","ATP synthesis coupled electron transport","GO:0042773","2.011393986761667e-18","17.696502852567104","88","480","28","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885"
"GO:BP","aerobic electron transport chain","GO:0019646","3.863794869503303e-18","17.412985938521444","82","480","27","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885"
"GO:BP","respiratory electron transport chain","GO:0022904","7.321957417434047e-17","16.135372801188876","99","480","28","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885"
"GO:BP","glutamate receptor signaling pathway","GO:0007215","5.119104761825123e-16","15.290805982577707","41","20","9","16178","ENSG00000142192,ENSG00000176884,ENSG00000116032,ENSG00000273079,ENSG00000161509,ENSG00000183454,ENSG00000198785,ENSG00000105464,ENSG00000176749"
"GO:BP","electron transport chain","GO:0022900","7.344656494871315e-16","15.134028511088214","107","480","28","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885"
"GO:BP","proton motive force-driven mitochondrial ATP synthesis","GO:0042776","1.0919223947989542e-15","14.961808226748719","65","186","17","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000139180,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518"
"GO:BP","modulation of chemical synaptic transmission","GO:0050804","5.543408011010501e-15","14.256223154889561","261","2141","89","16178","ENSG00000142192,ENSG00000176884,ENSG00000164885,ENSG00000130203,ENSG00000087085,ENSG00000116032,ENSG00000273079,ENSG00000161509,ENSG00000183454,ENSG00000198785,ENSG00000105464,ENSG00000159640,ENSG00000082701,ENSG00000168297,ENSG00000160716,ENSG00000149295,ENSG00000175344,ENSG00000120907,ENSG00000100151,ENSG00000141837,ENSG00000188906,ENSG00000186868,ENSG00000120899,ENSG00000067606,ENSG00000105737,ENSG00000097007,ENSG00000151577,ENSG00000186716,ENSG00000064651,ENSG00000179603,ENSG00000011600,ENSG00000113758,ENSG00000204305,ENSG00000107758,ENSG00000144868,ENSG00000163873,ENSG00000155511,ENSG00000232810,ENSG00000148408,ENSG00000152578,ENSG00000125675,ENSG00000120251,ENSG00000104327,ENSG00000181092,ENSG00000103496,ENSG00000176697,ENSG00000121807,ENSG00000152208,ENSG00000152822,ENSG00000124313,ENSG00000058404,ENSG00000102081,ENSG00000070808,ENSG00000008086,ENSG00000197283,ENSG00000185737,ENSG00000114062,ENSG00000168959,ENSG00000161681,ENSG00000125538,ENSG00000131042,ENSG00000036530,ENSG00000134259,ENSG00000165917,ENSG00000189056,ENSG00000161011,ENSG00000171862,ENSG00000114416,ENSG00000128564,ENSG00000128245,ENSG00000108691,ENSG00000008056,ENSG00000168824,ENSG00000116106,ENSG00000150093,ENSG00000157193,ENSG00000081189,ENSG00000174943,ENSG00000168993,ENSG00000151025,ENSG00000006116,ENSG00000148053,ENSG00000105894,ENSG00000067715,ENSG00000158109,ENSG00000164418,ENSG00000145632,ENSG00000130477,ENSG00000171189"
"GO:BP","regulation of trans-synaptic signaling","GO:0099177","7.329658535700178e-15","14.134916257216366","262","2141","89","16178","ENSG00000142192,ENSG00000176884,ENSG00000164885,ENSG00000130203,ENSG00000087085,ENSG00000116032,ENSG00000273079,ENSG00000161509,ENSG00000183454,ENSG00000198785,ENSG00000105464,ENSG00000159640,ENSG00000082701,ENSG00000168297,ENSG00000160716,ENSG00000149295,ENSG00000175344,ENSG00000120907,ENSG00000100151,ENSG00000141837,ENSG00000188906,ENSG00000186868,ENSG00000120899,ENSG00000067606,ENSG00000105737,ENSG00000097007,ENSG00000151577,ENSG00000186716,ENSG00000064651,ENSG00000179603,ENSG00000011600,ENSG00000113758,ENSG00000204305,ENSG00000107758,ENSG00000144868,ENSG00000163873,ENSG00000155511,ENSG00000232810,ENSG00000148408,ENSG00000152578,ENSG00000125675,ENSG00000120251,ENSG00000104327,ENSG00000181092,ENSG00000103496,ENSG00000176697,ENSG00000121807,ENSG00000152208,ENSG00000152822,ENSG00000124313,ENSG00000058404,ENSG00000102081,ENSG00000070808,ENSG00000008086,ENSG00000197283,ENSG00000185737,ENSG00000114062,ENSG00000168959,ENSG00000161681,ENSG00000125538,ENSG00000131042,ENSG00000036530,ENSG00000134259,ENSG00000165917,ENSG00000189056,ENSG00000161011,ENSG00000171862,ENSG00000114416,ENSG00000128564,ENSG00000128245,ENSG00000108691,ENSG00000008056,ENSG00000168824,ENSG00000116106,ENSG00000150093,ENSG00000157193,ENSG00000081189,ENSG00000174943,ENSG00000168993,ENSG00000151025,ENSG00000006116,ENSG00000148053,ENSG00000105894,ENSG00000067715,ENSG00000158109,ENSG00000164418,ENSG00000145632,ENSG00000130477,ENSG00000171189"
"GO:BP","proton motive force-driven ATP synthesis","GO:0015986","7.39384036012172e-15","14.131129930482777","72","186","17","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000139180,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518"
"GO:BP","oxidative phosphorylation","GO:0006119","9.830005495573774e-15","14.007446239370642","127","480","29","16178","ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000161281,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885"
