GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0035235	ionotropic glutamate receptor signaling pathway	1.0628212569050174e-21	1.0628212569050174e-21	+1	ENSG00000142192,ENSG00000176884,ENSG00000116032,ENSG00000273079,ENSG00000161509,ENSG00000183454,ENSG00000198785,ENSG00000105464,ENSG00000176749
GO:1990806	ligand-gated ion channel signaling pathway	1.0628212569050174e-21	1.0628212569050174e-21	+1	ENSG00000142192,ENSG00000176884,ENSG00000116032,ENSG00000273079,ENSG00000161509,ENSG00000183454,ENSG00000198785,ENSG00000105464,ENSG00000176749
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	8.394666535453317e-19	8.394666535453317e-19	+1	ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000139180,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000165264,ENSG00000140990,ENSG00000164258,ENSG00000145494,ENSG00000267855
GO:0042775	mitochondrial ATP synthesis coupled electron transport	2.011393986761667e-18	2.011393986761667e-18	+1	ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885
GO:0042773	ATP synthesis coupled electron transport	2.011393986761667e-18	2.011393986761667e-18	+1	ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885
GO:0019646	aerobic electron transport chain	3.863794869503303e-18	3.863794869503303e-18	+1	ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885
GO:0022904	respiratory electron transport chain	7.321957417434047e-17	7.321957417434047e-17	+1	ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885
GO:0007215	glutamate receptor signaling pathway	5.119104761825123e-16	5.119104761825123e-16	+1	ENSG00000142192,ENSG00000176884,ENSG00000116032,ENSG00000273079,ENSG00000161509,ENSG00000183454,ENSG00000198785,ENSG00000105464,ENSG00000176749
GO:0022900	electron transport chain	7.344656494871315e-16	7.344656494871315e-16	+1	ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000170312,ENSG00000139180,ENSG00000010256,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000131174,ENSG00000164258,ENSG00000145494,ENSG00000267855,ENSG00000156885
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	1.0919223947989542e-15	1.0919223947989542e-15	+1	ENSG00000119421,ENSG00000168653,ENSG00000158864,ENSG00000178127,ENSG00000023228,ENSG00000139180,ENSG00000099795,ENSG00000004779,ENSG00000147684,ENSG00000110717,ENSG00000151366,ENSG00000128609,ENSG00000184983,ENSG00000198888,ENSG00000109390,ENSG00000167792,ENSG00000065518
