GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0009719	response to endogenous stimulus	8.847783883174046e-7	8.847783883174046e-7	+1	ENSG00000118526,ENSG00000147883,ENSG00000130203,ENSG00000169174,ENSG00000175445,ENSG00000165757,ENSG00000156535,ENSG00000166949,ENSG00000136848,ENSG00000084093,ENSG00000070961,ENSG00000138675,ENSG00000137710,ENSG00000140526,ENSG00000164867,ENSG00000153823,ENSG00000142611,ENSG00000130164,ENSG00000154305,ENSG00000164532
GO:2000145	regulation of cell motility	0.000008029186151360679	0.000008029186151360679	+1	ENSG00000112137,ENSG00000130203,ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000182511,ENSG00000107562,ENSG00000136848,ENSG00000173334,ENSG00000138675,ENSG00000115414,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000160712
GO:0040012	regulation of locomotion	0.000011644746918769124	0.000011644746918769124	+1	ENSG00000112137,ENSG00000130203,ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000182511,ENSG00000107562,ENSG00000136848,ENSG00000173334,ENSG00000138675,ENSG00000115414,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000160712
GO:0030334	regulation of cell migration	0.000030591462683639346	0.000030591462683639346	+1	ENSG00000112137,ENSG00000130203,ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000107562,ENSG00000136848,ENSG00000173334,ENSG00000138675,ENSG00000115414,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000160712,ENSG00000154305
GO:0050790	regulation of catalytic activity	0.0000523588201596663	0.0000523588201596663	+1	ENSG00000151617,ENSG00000147883,ENSG00000130203,ENSG00000166949,ENSG00000136848,ENSG00000147889,ENSG00000154783,ENSG00000084093,ENSG00000173334,ENSG00000160360,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000213949,ENSG00000160712,ENSG00000165895,ENSG00000198743,ENSG00000134222,ENSG00000180263,ENSG00000172572,ENSG00000026508,ENSG00000070366,ENSG00000164109,ENSG00000130208,ENSG00000136826
GO:0040011	locomotion	0.00010509990395882528	0.00010509990395882528	+1	ENSG00000112137,ENSG00000130203,ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000182511,ENSG00000107562,ENSG00000136848,ENSG00000173334,ENSG00000138675,ENSG00000115414,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000160712
GO:0034381	plasma lipoprotein particle clearance	0.00011646129825116905	0.00011646129825116905	+1	ENSG00000130203,ENSG00000169174,ENSG00000073060,ENSG00000130164,ENSG00000107798,ENSG00000130208
GO:0097006	regulation of plasma lipoprotein particle levels	0.0001642468079010766	0.0001642468079010766	+1	ENSG00000130203,ENSG00000169174,ENSG00000175445,ENSG00000073060,ENSG00000130164,ENSG00000107798
GO:0010594	regulation of endothelial cell migration	0.00019603265278634644	0.00019603265278634644	+1	ENSG00000130203,ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000136848,ENSG00000073060,ENSG00000164867
GO:0065009	regulation of molecular function	0.0002411824765504512	0.0002411824765504512	+1	ENSG00000151617,ENSG00000147883,ENSG00000130203,ENSG00000169174,ENSG00000162407,ENSG00000159197,ENSG00000166949,ENSG00000136848,ENSG00000147889,ENSG00000154783,ENSG00000084093,ENSG00000173334,ENSG00000160360,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000213949,ENSG00000160712,ENSG00000165895,ENSG00000198743,ENSG00000134222,ENSG00000180263,ENSG00000172572,ENSG00000104885,ENSG00000026508,ENSG00000070366,ENSG00000164109,ENSG00000130208,ENSG00000136826,ENSG00000174437,ENSG00000198373,ENSG00000014123,ENSG00000186063
GO:0030335	positive regulation of cell migration	0.0003212918897934208	0.0003212918897934208	+1	ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000107562,ENSG00000136848,ENSG00000115414,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000160712,ENSG00000154305
GO:0051716	cellular response to stimulus	0.0003322787796104284	0.0003322787796104284	+1	ENSG00000118526,ENSG00000151617,ENSG00000147883,ENSG00000134871,ENSG00000130203,ENSG00000169174,ENSG00000175445,ENSG00000165757,ENSG00000156535,ENSG00000162407,ENSG00000159197,ENSG00000166949,ENSG00000182511,ENSG00000107562,ENSG00000136848,ENSG00000166444,ENSG00000138670,ENSG00000117971,ENSG00000147889,ENSG00000164116,ENSG00000154783,ENSG00000084093,ENSG00000185787,ENSG00000173334,ENSG00000070961,ENSG00000138675,ENSG00000158186,ENSG00000115414,ENSG00000137710,ENSG00000140526,ENSG00000164867,ENSG00000213949,ENSG00000160712,ENSG00000143126,ENSG00000153823,ENSG00000142611,ENSG00000130164
GO:0051239	regulation of multicellular organismal process	0.0003571669745430363	0.0003571669745430363	+1	ENSG00000134871,ENSG00000130203,ENSG00000169174,ENSG00000175445,ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000159197,ENSG00000166949,ENSG00000182511,ENSG00000107562,ENSG00000136848,ENSG00000147889,ENSG00000084093,ENSG00000070961,ENSG00000115414,ENSG00000073060,ENSG00000164867,ENSG00000160712,ENSG00000142611,ENSG00000130164,ENSG00000118640,ENSG00000164532,ENSG00000113249
GO:0010899	regulation of phosphatidylcholine catabolic process	0.0003750032031025621	0.0003750032031025621	+1	ENSG00000073060,ENSG00000130164,ENSG00000130208
GO:0043542	endothelial cell migration	0.00039816459037558545	0.00039816459037558545	+1	ENSG00000130203,ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000136848,ENSG00000073060,ENSG00000164867,ENSG00000154305
GO:0008283	cell population proliferation	0.0004154640015866979	0.0004154640015866979	+1	ENSG00000151617,ENSG00000147883,ENSG00000130203,ENSG00000165757,ENSG00000122194,ENSG00000166949,ENSG00000182511,ENSG00000136848,ENSG00000147889,ENSG00000084093,ENSG00000173334,ENSG00000138675,ENSG00000115414,ENSG00000164867,ENSG00000213949,ENSG00000160712,ENSG00000153823
GO:0042127	regulation of cell population proliferation	0.000419904423745623	0.000419904423745623	+1	ENSG00000147883,ENSG00000130203,ENSG00000165757,ENSG00000122194,ENSG00000166949,ENSG00000182511,ENSG00000136848,ENSG00000147889,ENSG00000084093,ENSG00000173334,ENSG00000138675,ENSG00000115414,ENSG00000164867,ENSG00000213949,ENSG00000160712,ENSG00000153823
GO:2000147	positive regulation of cell motility	0.0004974927918813479	0.0004974927918813479	+1	ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000107562,ENSG00000136848,ENSG00000115414,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000160712,ENSG00000154305
GO:0040017	positive regulation of locomotion	0.0006015531720515362	0.0006015531720515362	+1	ENSG00000165757,ENSG00000122194,ENSG00000162407,ENSG00000107562,ENSG00000136848,ENSG00000115414,ENSG00000073060,ENSG00000137710,ENSG00000164867,ENSG00000160712,ENSG00000154305
