GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	4.223452615561523e-47	4.223452615561523e-47	+1	ENSG00000158828,ENSG00000145335,ENSG00000116288,ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000004779,ENSG00000099795,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000165264,ENSG00000140990,ENSG00000198695,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000130414,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000189043,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000119013,ENSG00000170906,ENSG00000137806
GO:0042773	ATP synthesis coupled electron transport	2.081773262261296e-37	2.081773262261296e-37	+1	ENSG00000158828,ENSG00000145335,ENSG00000116288,ENSG00000106153,ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000170312,ENSG00000004779,ENSG00000099795,ENSG00000010256,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000198695,ENSG00000131174,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000198938,ENSG00000156885,ENSG00000130414,ENSG00000164405,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000189043,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000119013,ENSG00000184752,ENSG00000170906,ENSG00000137806,ENSG00000134057
GO:0042775	mitochondrial ATP synthesis coupled electron transport	2.081773262261296e-37	2.081773262261296e-37	+1	ENSG00000158828,ENSG00000145335,ENSG00000116288,ENSG00000106153,ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000170312,ENSG00000004779,ENSG00000099795,ENSG00000010256,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000198695,ENSG00000131174,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000198938,ENSG00000156885,ENSG00000130414,ENSG00000164405,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000189043,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000119013,ENSG00000184752,ENSG00000170906,ENSG00000137806,ENSG00000134057
GO:0007610	behavior	1.895687203672559e-36	1.895687203672559e-36	+1	ENSG00000188906,ENSG00000185345,ENSG00000176884,ENSG00000186868,ENSG00000149295,ENSG00000151577,ENSG00000183454,ENSG00000069696,ENSG00000273079,ENSG00000136531,ENSG00000184845,ENSG00000043591,ENSG00000147246,ENSG00000168412,ENSG00000101204,ENSG00000160716,ENSG00000198793,ENSG00000141510,ENSG00000178394,ENSG00000159082,ENSG00000108576,ENSG00000010810,ENSG00000130203,ENSG00000112038,ENSG00000125971,ENSG00000168610,ENSG00000162545,ENSG00000107317,ENSG00000082556,ENSG00000162928,ENSG00000181856,ENSG00000175344,ENSG00000143322,ENSG00000130234,ENSG00000107758,ENSG00000171766,ENSG00000168959,ENSG00000170175,ENSG00000171105,ENSG00000180176,ENSG00000176697,ENSG00000160460,ENSG00000189056,ENSG00000171867,ENSG00000160307,ENSG00000104327,ENSG00000198673,ENSG00000187902,ENSG00000197386,ENSG00000168621,ENSG00000157103,ENSG00000107331,ENSG00000110076,ENSG00000161681,ENSG00000146216,ENSG00000179915,ENSG00000165240,ENSG00000142192,ENSG00000137462,ENSG00000153930,ENSG00000196689,ENSG00000188603,ENSG00000142168,ENSG00000125872,ENSG00000161610,ENSG00000225950,ENSG00000181656,ENSG00000115263,ENSG00000198961,ENSG00000148053,ENSG00000130513,ENSG00000143799,ENSG00000187094,ENSG00000157017,ENSG00000095970,ENSG00000146469,ENSG00000006128,ENSG00000134259,ENSG00000163106,ENSG00000171862,ENSG00000120738,ENSG00000100302,ENSG00000174697,ENSG00000122375,ENSG00000146648,ENSG00000185652,ENSG00000122585,ENSG00000121853,ENSG00000118515,ENSG00000126368,ENSG00000147571,ENSG00000204305,ENSG00000100030,ENSG00000064687,ENSG00000168329,ENSG00000170893,ENSG00000105894,ENSG00000163794,ENSG00000100600,ENSG00000132718,ENSG00000171388,ENSG00000184113,ENSG00000145632,ENSG00000184702,ENSG00000111859,ENSG00000163568,ENSG00000204843,ENSG00000134443,ENSG00000169684,ENSG00000073921,ENSG00000242252,ENSG00000172156,ENSG00000100678,ENSG00000081189,ENSG00000254647,ENSG00000125798,ENSG00000183395,ENSG00000132535,ENSG00000121764,ENSG00000166710,ENSG00000135124,ENSG00000164326,ENSG00000152910,ENSG00000137801,ENSG00000030304,ENSG00000080644,ENSG00000128829,ENSG00000036828,ENSG00000198576,ENSG00000182979,ENSG00000080815,ENSG00000107984,ENSG00000134644,ENSG00000196712,ENSG00000119508,ENSG00000124788,ENSG00000277632,ENSG00000105357,ENSG00000166603,ENSG00000174469,ENSG00000162105,ENSG00000183826,ENSG00000141564,ENSG00000135914,ENSG00000170485,ENSG00000131042,ENSG00000118702,ENSG00000125124,ENSG00000108849,ENSG00000137252,ENSG00000130164,ENSG00000185149,ENSG00000132356,ENSG00000138138,ENSG00000152495,ENSG00000165699,ENSG00000118160,ENSG00000168389,ENSG00000196549,ENSG00000155897,ENSG00000166963,ENSG00000106278,ENSG00000133216,ENSG00000159208
GO:0022904	respiratory electron transport chain	6.866890787153451e-36	6.866890787153451e-36	+1	ENSG00000158828,ENSG00000145335,ENSG00000116288,ENSG00000106153,ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000170312,ENSG00000004779,ENSG00000099795,ENSG00000010256,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000198695,ENSG00000131174,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000198938,ENSG00000156885,ENSG00000130414,ENSG00000164405,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000189043,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000119013,ENSG00000184752,ENSG00000115159,ENSG00000170906,ENSG00000137806,ENSG00000109819,ENSG00000134057
GO:0019646	aerobic electron transport chain	2.2783694327809942e-35	2.2783694327809942e-35	+1	ENSG00000158828,ENSG00000145335,ENSG00000116288,ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000004779,ENSG00000099795,ENSG00000010256,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000198695,ENSG00000131174,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000198938,ENSG00000156885,ENSG00000130414,ENSG00000164405,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000189043,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000119013,ENSG00000170906,ENSG00000137806
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	1.7476472952514421e-34	1.7476472952514421e-34	+1	ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000004779,ENSG00000099795,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000165264,ENSG00000140990,ENSG00000198695,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000198899,ENSG00000228253,ENSG00000130414,ENSG00000174886,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000186010,ENSG00000119013,ENSG00000184752,ENSG00000147123,ENSG00000170906
GO:0022900	electron transport chain	1.7925511692332051e-34	1.7925511692332051e-34	+1	ENSG00000158828,ENSG00000145335,ENSG00000116288,ENSG00000106153,ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000170312,ENSG00000004779,ENSG00000099795,ENSG00000010256,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000198695,ENSG00000131174,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000198938,ENSG00000156885,ENSG00000130414,ENSG00000164405,ENSG00000137714,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000189043,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000119013,ENSG00000184752,ENSG00000115159,ENSG00000170906,ENSG00000137806,ENSG00000109819,ENSG00000134057
GO:0006119	oxidative phosphorylation	2.6377122817411472e-33	2.6377122817411472e-33	+1	ENSG00000158828,ENSG00000145335,ENSG00000116288,ENSG00000106153,ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000170312,ENSG00000004779,ENSG00000099795,ENSG00000010256,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000156467,ENSG00000165264,ENSG00000140990,ENSG00000127184,ENSG00000198695,ENSG00000131174,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000198899,ENSG00000161281,ENSG00000198938,ENSG00000228253,ENSG00000156885,ENSG00000130414,ENSG00000164405,ENSG00000137288,ENSG00000174886,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000189043,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000186010,ENSG00000119013,ENSG00000184752,ENSG00000147123,ENSG00000170906,ENSG00000137806,ENSG00000134057
GO:0015986	proton motive force-driven ATP synthesis	2.3701666536375133e-31	2.3701666536375133e-31	+1	ENSG00000178127,ENSG00000119421,ENSG00000168653,ENSG00000023228,ENSG00000158864,ENSG00000139180,ENSG00000004779,ENSG00000099795,ENSG00000147684,ENSG00000151366,ENSG00000110717,ENSG00000184983,ENSG00000128609,ENSG00000109390,ENSG00000167792,ENSG00000065518,ENSG00000198888,ENSG00000198786,ENSG00000165264,ENSG00000140990,ENSG00000198695,ENSG00000164258,ENSG00000198840,ENSG00000198886,ENSG00000212907,ENSG00000267855,ENSG00000145494,ENSG00000198899,ENSG00000228253,ENSG00000130414,ENSG00000174886,ENSG00000213619,ENSG00000198763,ENSG00000125356,ENSG00000160194,ENSG00000166136,ENSG00000183648,ENSG00000115286,ENSG00000136521,ENSG00000131495,ENSG00000090266,ENSG00000186010,ENSG00000119013,ENSG00000184752,ENSG00000147123,ENSG00000170906
