GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0042987	amyloid precursor protein catabolic process	1.001363713275171e-9	1.001363713275171e-9	+1	ENSG00000064687,ENSG00000138613,ENSG00000151694,ENSG00000130203,ENSG00000137845,ENSG00000073921,ENSG00000120885
GO:0042982	amyloid precursor protein metabolic process	5.5855204790896175e-9	5.5855204790896175e-9	+1	ENSG00000064687,ENSG00000138613,ENSG00000151694,ENSG00000130203,ENSG00000137845,ENSG00000073921,ENSG00000120885
GO:0050435	amyloid-beta metabolic process	4.0214164777482293e-7	4.0214164777482293e-7	+1	ENSG00000064687,ENSG00000138613,ENSG00000130203,ENSG00000073921,ENSG00000120885,ENSG00000159640
GO:0097242	amyloid-beta clearance	0.0000020504957595376894	0.0000020504957595376894	+1	ENSG00000064687,ENSG00000095970,ENSG00000130203,ENSG00000073921,ENSG00000120885
GO:0034205	amyloid-beta formation	0.000005340243983198241	0.000005340243983198241	+1	ENSG00000064687,ENSG00000138613,ENSG00000130203,ENSG00000073921,ENSG00000120885
GO:0002920	regulation of humoral immune response	0.000008115969118104242	0.000008115969118104242	+1	ENSG00000095970,ENSG00000197721,ENSG00000167085,ENSG00000203710,ENSG00000117335,ENSG00000117322,ENSG00000108561,ENSG00000169035,ENSG00000196352,ENSG00000167754,ENSG00000142515,ENSG00000183018,ENSG00000123838,ENSG00000072694,ENSG00000123843
GO:1900221	regulation of amyloid-beta clearance	0.00001049213053405699	0.00001049213053405699	+1	ENSG00000064687,ENSG00000095970,ENSG00000130203,ENSG00000120885
GO:1902992	negative regulation of amyloid precursor protein catabolic process	0.00002228513926280363	0.00002228513926280363	+1	ENSG00000064687,ENSG00000130203,ENSG00000073921,ENSG00000120885
GO:0001775	cell activation	0.000027162155032495466	0.000027162155032495466	+1	ENSG00000105383,ENSG00000187116,ENSG00000095970,ENSG00000151694,ENSG00000130203,ENSG00000137845,ENSG00000120885,ENSG00000071051,ENSG00000095585,ENSG00000168421,ENSG00000145214,ENSG00000161911,ENSG00000030582,ENSG00000066336
GO:1900223	positive regulation of amyloid-beta clearance	0.00003218347945970313	0.00003218347945970313	+1	ENSG00000064687,ENSG00000095970,ENSG00000130203
GO:1902003	regulation of amyloid-beta formation	0.00026309982869380903	0.00026309982869380903	+1	ENSG00000064687,ENSG00000130203,ENSG00000073921,ENSG00000120885
GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin	0.00040917831447429204	0.00040917831447429204	+1	ENSG00000095970,ENSG00000197721,ENSG00000203710,ENSG00000117335,ENSG00000117322,ENSG00000123838,ENSG00000072694,ENSG00000123843
