GO Term	Description	P-value	FDR q-value	Enrichment	N	B	n	b	Genes
GO:0002682	regulation of immune system process	1.04E-11	1.6E-7	2.38	17535	1492	381	77	[ITK  -  il2-inducible t-cell kinase, FAM210B  -  family with sequence similarity 210, member b, ADAM17  -  adam metallopeptidase domain 17, CD46  -  cd46 molecule, complement regulatory protein, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), LIME1  -  lck interacting transmembrane adaptor 1, RIN3  -  ras and rab interactor 3, ZCCHC3  -  zinc finger, cchc domain containing 3, PLD2  -  phospholipase d2, TREML4  -  triggering receptor expressed on myeloid cells-like 4, ISG15  -  isg15 ubiquitin-like modifier, MS4A2  -  membrane-spanning 4-domains, subfamily a, member 2, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, HTRA1  -  htra serine peptidase 1, CD33  -  cd33 molecule, PYCARD  -  pyd and card domain containing, GPRC5B  -  g protein-coupled receptor, family c, group 5, member b, PILRB  -  paired immunoglobin-like type 2 receptor beta, PLEKHA1  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 1, GP1BA  -  glycoprotein ib (platelet), alpha polypeptide, PILRA  -  paired immunoglobin-like type 2 receptor alpha, SPHK2  -  sphingosine kinase 2, APOA2  -  apolipoprotein a-ii, HAVCR1  -  hepatitis a virus cellular receptor 1, BLNK  -  b-cell linker, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, PSMA5  -  proteasome (prosome, macropain) subunit, alpha type, 5, HLA-DQB1  -  major histocompatibility complex, class ii, dq beta 1, LAIR1  -  leukocyte-associated immunoglobulin-like receptor 1, DAPK2  -  death-associated protein kinase 2, SIGLEC7  -  sialic acid binding ig-like lectin 7, APOE  -  apolipoprotein e, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, APP  -  amyloid beta (a4) precursor protein, PSMB6  -  proteasome (prosome, macropain) subunit, beta type, 6, LILRB3  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 3, ZBTB46  -  zinc finger and btb domain containing 46, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, PHB  -  prohibitin, PSMC6  -  proteasome (prosome, macropain) 26s subunit, atpase, 6, PVRIG  -  poliovirus receptor related immunoglobulin domain containing, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, INPP5D  -  inositol polyphosphate-5-phosphatase, 145kda, TREM2  -  triggering receptor expressed on myeloid cells 2, TREM1  -  triggering receptor expressed on myeloid cells 1, ACE  -  angiotensin i converting enzyme, IL34  -  interleukin 34, STK11  -  serine/threonine kinase 11, RHOH  -  ras homolog family member h, SCIMP  -  slp adaptor and csk interacting membrane protein, ADAM10  -  adam metallopeptidase domain 10, STX4  -  syntaxin 4, FOXF1  -  forkhead box f1, MAPK3  -  mitogen-activated protein kinase 3, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, NCK2  -  nck adaptor protein 2, SOX12  -  sry (sex determining region y)-box 12, MAPK9  -  mitogen-activated protein kinase 9, GRN  -  granulin, TNIP1  -  tnfaip3 interacting protein 1, CLU  -  clusterin, CTSB  -  cathepsin b, CTSH  -  cathepsin h, ITGA2B  -  integrin, alpha 2b (platelet glycoprotein iib of iib/iiia complex, antigen cd41), SLC8B1  -  solute carrier family 8 (sodium/lithium/calcium exchanger), member b1, SPI1  -  spleen focus forming virus (sffv) proviral integration oncogene, HAVCR2  -  hepatitis a virus cellular receptor 2, TREML1  -  triggering receptor expressed on myeloid cells-like 1, CR1  -  complement component (3b/4b) receptor 1 (knops blood group), CR1L  -  complement component (3b/4b) receptor 1-like, RIOK3  -  rio kinase 3, CR2  -  complement component (3d/epstein barr virus) receptor 2, TREML2  -  triggering receptor expressed on myeloid cells-like 2, LILRA4  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 4, SIGLEC9  -  sialic acid binding ig-like lectin 9, SPPL2A  -  signal peptide peptidase like 2a, NR1H3  -  nuclear receptor subfamily 1, group h, member 3]
GO:0042982	amyloid precursor protein metabolic process	4.43E-11	3.4E-7	278.33	17535	21	15	5	[ADAM17  -  adam metallopeptidase domain 17, ADAM10  -  adam metallopeptidase domain 10, APOE  -  apolipoprotein e, APH1B  -  aph1b gamma secretase subunit, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:0050776	regulation of immune response	1.43E-10	7.34E-7	2.68	17535	980	381	57	[ITK  -  il2-inducible t-cell kinase, CD46  -  cd46 molecule, complement regulatory protein, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), LIME1  -  lck interacting transmembrane adaptor 1, ZCCHC3  -  zinc finger, cchc domain containing 3, PLD2  -  phospholipase d2, TREML4  -  triggering receptor expressed on myeloid cells-like 4, MS4A2  -  membrane-spanning 4-domains, subfamily a, member 2, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, CD33  -  cd33 molecule, PYCARD  -  pyd and card domain containing, GPRC5B  -  g protein-coupled receptor, family c, group 5, member b, PILRB  -  paired immunoglobin-like type 2 receptor beta, PLEKHA1  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 1, PILRA  -  paired immunoglobin-like type 2 receptor alpha, SPHK2  -  sphingosine kinase 2, APOA2  -  apolipoprotein a-ii, BLNK  -  b-cell linker, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, PSMA5  -  proteasome (prosome, macropain) subunit, alpha type, 5, HLA-DQB1  -  major histocompatibility complex, class ii, dq beta 1, LAIR1  -  leukocyte-associated immunoglobulin-like receptor 1, SIGLEC7  -  sialic acid binding ig-like lectin 7, APOE  -  apolipoprotein e, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, PSMB6  -  proteasome (prosome, macropain) subunit, beta type, 6, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, PHB  -  prohibitin, PSMC6  -  proteasome (prosome, macropain) 26s subunit, atpase, 6, PVRIG  -  poliovirus receptor related immunoglobulin domain containing, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, INPP5D  -  inositol polyphosphate-5-phosphatase, 145kda, TREM2  -  triggering receptor expressed on myeloid cells 2, TREM1  -  triggering receptor expressed on myeloid cells 1, STK11  -  serine/threonine kinase 11, SCIMP  -  slp adaptor and csk interacting membrane protein, STX4  -  syntaxin 4, FOXF1  -  forkhead box f1, MAPK3  -  mitogen-activated protein kinase 3, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, MAPK9  -  mitogen-activated protein kinase 9, GRN  -  granulin, TNIP1  -  tnfaip3 interacting protein 1, CLU  -  clusterin, CTSB  -  cathepsin b, CTSH  -  cathepsin h, HAVCR2  -  hepatitis a virus cellular receptor 2, TREML1  -  triggering receptor expressed on myeloid cells-like 1, CR1  -  complement component (3b/4b) receptor 1 (knops blood group), CR1L  -  complement component (3b/4b) receptor 1-like, RIOK3  -  rio kinase 3, CR2  -  complement component (3d/epstein barr virus) receptor 2, TREML2  -  triggering receptor expressed on myeloid cells-like 2, LILRA4  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 4, SIGLEC9  -  sialic acid binding ig-like lectin 9, SPPL2A  -  signal peptide peptidase like 2a, NR1H3  -  nuclear receptor subfamily 1, group h, member 3]
GO:0042987	amyloid precursor protein catabolic process	2.6E-9	9.99E-6	334.00	17535	14	15	4	[ADAM17  -  adam metallopeptidase domain 17, ADAM10  -  adam metallopeptidase domain 10, APH1B  -  aph1b gamma secretase subunit, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:0002250	adaptive immune response	1.2E-8	3.7E-5	6.33	17535	231	204	17	[ITK  -  il2-inducible t-cell kinase, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, ADAM17  -  adam metallopeptidase domain 17, HLA-DQB1  -  major histocompatibility complex, class ii, dq beta 1, LAIR1  -  leukocyte-associated immunoglobulin-like receptor 1, CTSH  -  cathepsin h, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, INPP5D  -  inositol polyphosphate-5-phosphatase, 145kda, LIME1  -  lck interacting transmembrane adaptor 1, LILRA6  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 6, LILRB3  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 3, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, HAVCR2  -  hepatitis a virus cellular receptor 2, LILRB5  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 5, PHB  -  prohibitin, IL4I1  -  interleukin 4 induced 1]
GO:1900221	regulation of amyloid-beta clearance	1.91E-8	4.9E-5	217.15	17535	17	19	4	[CLU  -  clusterin, APOE  -  apolipoprotein e, TREM2  -  triggering receptor expressed on myeloid cells 2, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:1900223	positive regulation of amyloid-beta clearance	4.15E-8	9.11E-5	626.25	17535	7	12	3	[APOE  -  apolipoprotein e, TREM2  -  triggering receptor expressed on myeloid cells 2, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:1902992	negative regulation of amyloid precursor protein catabolic process	5.1E-8	9.8E-5	175.79	17535	21	19	4	[CLU  -  clusterin, APOE  -  apolipoprotein e, PICALM  -  phosphatidylinositol binding clathrin assembly protein, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:0050435	amyloid-beta metabolic process	1.12E-7	1.91E-4	146.12	17535	20	24	4	[ADAM10  -  adam metallopeptidase domain 10, APH1B  -  aph1b gamma secretase subunit, ACE  -  angiotensin i converting enzyme, ABCA7  -  atp-binding cassette, sub-family a (abc1), member 7]
GO:0002764	immune response-regulating signaling pathway	1.31E-7	2.02E-4	3.20	17535	446	381	31	[ITK  -  il2-inducible t-cell kinase, LILRB2  -  leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 2, PLCG2  -  phospholipase c, gamma 2 (phosphatidylinositol-specific), INPP5D  -  inositol polyphosphate-5-phosphatase, 145kda, LIME1  -  lck interacting transmembrane adaptor 1, PLD2  -  phospholipase d2, MS4A2  -  membrane-spanning 4-domains, subfamily a, member 2, FCER1G  -  fc fragment of ige, high affinity i, receptor for; gamma polypeptide, STK11  -  serine/threonine kinase 11, CD33  -  cd33 molecule, SCIMP  -  slp adaptor and csk interacting membrane protein, PLEKHA1  -  pleckstrin homology domain containing, family a (phosphoinositide binding specific) member 1, MAPK3  -  mitogen-activated protein kinase 3, RBCK1  -  ranbp-type and c3hc4-type zinc finger containing 1, MAPK9  -  mitogen-activated protein kinase 9, BLNK  -  b-cell linker, TNIP1  -  tnfaip3 interacting protein 1, HLA-DQA1  -  major histocompatibility complex, class ii, dq alpha 1, CTSB  -  cathepsin b, PSMA5  -  proteasome (prosome, macropain) subunit, alpha type, 5, HLA-DQB1  -  major histocompatibility complex, class ii, dq beta 1, CTSH  -  cathepsin h, HLA-DRB1  -  major histocompatibility complex, class ii, dr beta 1, PSMB6  -  proteasome (prosome, macropain) subunit, beta type, 6, HAVCR2  -  hepatitis a virus cellular receptor 2, CR1  -  complement component (3b/4b) receptor 1 (knops blood group), CR2  -  complement component (3d/epstein barr virus) receptor 2, PSMC3  -  proteasome (prosome, macropain) 26s subunit, atpase, 3, PHB  -  prohibitin, LILRA4  -  leukocyte immunoglobulin-like receptor, subfamily a (with tm domain), member 4, PSMC6  -  proteasome (prosome, macropain) 26s subunit, atpase, 6]
